num_train,method,split,nlpd,variogram_score
275,pro_gp_gibbs_50,8,0.9555941481635974,0.7248015141424567
275,pro_gp_gibbs_50,9,0.9376492299753113,0.734140235511436
300,exact_gp,1,0.8220636739814787,0.3700822085572893
300,exact_gp,10,1.1386181045272654,0.7240542308053773
300,exact_gp,11,1.0180172894103696,0.5285982574568484
300,exact_gp,12,1.0342105397112087,0.5691709074664808
300,exact_gp,13,0.8901787039379974,0.4446815041349446
300,exact_gp,14,0.9420472306397799,0.47842100227699563
300,exact_gp,15,1.3588402995608975,0.8720617850213279
300,exact_gp,16,1.204012036493937,1.0286397804225171
300,exact_gp,17,1.0540386925756422,0.4747242090998158
300,exact_gp,18,1.1246124699872353,0.7259196400209772
300,exact_gp,19,1.0177631248404482,0.4594814118162304
300,exact_gp,2,0.9304601673308919,0.6351340554879317
300,exact_gp,20,1.0094329409516969,0.6675231355999893
300,exact_gp,3,0.8275146284900262,0.4361411131389511
300,exact_gp,4,0.9511546781092866,0.5360115945447999
300,exact_gp,5,1.071476662848716,0.572815687426975
300,exact_gp,6,1.319086012677477,0.9701216573809167
300,exact_gp,7,1.290151153570767,0.9460351691260299
300,exact_gp,8,0.9914550435983702,0.7915705341366727
300,exact_gp,9,1.1134548724783069,0.6499790244751378
300,pro_gp_gibbs,1,0.538125871214489,0.26920884881653423
